,ProjectName,dim1Scores,dim2Scores,MCD,blueMCD,count,PipeDates,MeanOccupationDate,State
38BK245,38BK245,0.401987172,0.259206905,1765.56401,1773.720833,414,NA,1773.720833,SC
38BK75,Yaughan 75,-0.59000858,0.240470398,1786.502358,1791.620548,1060,NA,1791.620548,SC
38BK76,Yaughan 76,0.069550914,0.524963555,1772.077655,1781.136727,1629,NA,1781.136727,SC
44FX1965,44FX1965,-0.198996257,0.714131043,1776.37632,1786.047221,1326,NA,1786.047221,VA
44JC298,44JC298,2.660469027,-1.346857593,1701.264706,1678.908452,17,1718.77,1718.77,VA
44JC546,44JC546,1.991245076,-0.615864305,1703.81448,1704.034952,221,NA,1704.034952,VA
Accotink Quarter,Accotink Quarter,1.806152624,-0.404411427,1723.659151,1735.264096,377,NA,1735.264096,VA
Bonny Shore Slave Row,Bonny Shore Slave Row,-1.586957027,-2.939945016,1865.54746,1836.290584,748,NA,1836.290584,SC
Building l,Building l,-0.704297287,0.608454035,1792.613251,1795.063864,1532,NA,1795.063864,VA
Building o,Building o,-0.45961991,0.672149103,1785.913629,1790.250037,6090,NA,1790.250037,VA
Building r,Building r,-0.860855908,0.188168297,1807.338192,1801.330916,2401,NA,1801.330916,VA
Building s,Building s,-0.878104937,0.044054688,1808.596731,1802.69257,6027,NA,1802.69257,VA
Building t,Building t,-0.697942083,0.332715806,1800.646988,1798.150021,3320,NA,1798.150021,VA
Catherine Brown Cowpen,Catherine Brown Cowpen,-0.726409136,1.455066337,1789.85541,1790.395987,536,NA,1790.395987,SC
Clifts Plantation,Clifts Plantation,2.386964386,-0.766356095,1709.32505,1715.559846,1489,NA,1715.559846,VA
Colleton River,Colleton River,-1.464403235,-2.491150795,1854.75971,1827.34004,1725,NA,1827.34004,SC
Curriboo,Curriboo,0.377738762,0.386735723,1764.336879,1773.144192,423,NA,1773.144192,SC
Dean Hall,Dean Hall,-1.469676212,-2.984807513,1865.804756,1837.986837,5803,NA,1837.986837,SC
Fairfield Quarter,Fairfield Quarter,0.707457746,-0.679566162,1762.095454,1771.063605,8161,1731.75,1731.75,VA
Halidon Hill,Halidon Hill,-0.826887928,0.388138806,1795.395753,1796.416626,259,NA,1796.416626,SC
Hampton Plantation,Hampton Plantation,0.670326,0.273255282,1756.345109,1767.131523,184,NA,1767.131523,SC
Home Farm Quarter Site 6,Home Farm Quarter Site 6,-0.962885645,0.622659736,1797.707849,1798.109037,2064,NA,1798.109037,VA
Home Farm Quarter Site 7,Home Farm Quarter Site 7,0.392776989,0.507905214,1766.428312,1776.935573,2755,NA,1776.935573,VA
Home Farm Quarter Site 8,Home Farm Quarter Site 8,-0.155949182,0.447541087,1786.819429,1787.150947,4591,NA,1787.150947,VA
House for Families,House for Families,1.424156042,-0.11004675,1746.008811,1752.84718,681,1751.97,1751.97,VA
Middleburg Village,Middleburg Village,0.029893115,0.060207567,1782.005207,1787.514498,5761,NA,1787.514498,SC
Middleton Place,Middleton Place,-0.441169822,0.216056491,1785.863741,1791.422682,1743,NA,1791.422682,SC
North Hill,North Hill,-0.596014823,0.750923486,1791.710272,1793.896134,2171,NA,1793.896134,VA
Old Dorchester,Old Dorchester,0.418330311,0.534374631,1762.381425,1773.579025,856,NA,1773.579025,SC
Palace Lands Site,Palace Lands Site,0.590074301,-0.038681461,1767.110174,1774.638092,1956,1755,1755,VA
Pope Site,Pope Site,0.449156844,0.231608946,1759.688312,1774.346213,385,NA,1774.346213,VA
Quarter,Quarter,-0.736412294,0.83213798,1795.617596,1795.676765,4626,NA,1795.676765,VA
Richneck Quarter,Richneck Quarter,1.444507812,-0.177910905,1741.446611,1752.317519,2641,1750.75,1750.75,VA
Servants Hall/Wash House,Servants Hall/Wash House,2.332421575,-0.492307427,1742.97076,1746.199017,342,NA,1746.199017,VA
Silver Bluff,Silver Bluff,N/A,N/A,1735.7,1744,661,1749.288,1749.288,SC
Smoky Hill,Smoky Hill,1.444441968,-0.052166679,1743.66129,1753.550759,62,NA,1753.550759,SC
South Grove,South Grove,1.739506192,-0.451908832,1739.107738,1743.611183,10261,1733.56,1733.56,VA
Southall Quarter,Southall Quarter,-0.197703523,0.949883779,1779.804391,1784.725258,4987,NA,1784.725258,VA
ST116,ST116,0.193052428,0.263283796,1771.069565,1781.405889,460,NA,1781.405889,VA
Utopia II,Utopia II,1.863171547,-0.617454204,1724.541045,1729.633509,134,1722.55,1722.55,VA
Utopia III,Utopia III,1.49160163,-0.205816578,1762.252433,1759.091074,2466,1749.99,1749.99,VA
Utopia IV,Utopia IV,1.660527103,-0.302069076,1734.49685,1743.698002,1111,1761.87,1761.87,VA
Wingos,Wingos,0.404995489,0.404042282,1760.463636,1771.829574,110,NA,1771.829574,VA
